# VTSC watch offline window: 2025-09-05_003559UTC -> 2025-09-05_013559UTC
# Scanned 82 rlogs (mtime filter)
2025-09-05_003639UTC | 00000085--f247b281ca--59 | [rlog] v=0.0 base=22.2 raw=22.2 final=22.2 | cap=occlusion vis=22.2 occ=10.8 | v_vis=5.9 v_occ=10.8 conf=0.0 psi=0.0/0.4 reason=fov_exit tail=0.9@1398.0 | flags=psi_below_thresh
2025-09-05_003640UTC | 00000085--f247b281ca--59 | [rlog] v=0.0 base=22.2 raw=22.2 final=22.2 | cap=occlusion vis=22.2 occ=10.8 | v_vis=5.9 v_occ=10.8 conf=0.0 psi=0.0/0.4 reason=fov_exit tail=0.9@1398.0 | flags=psi_below_thresh
2025-09-05_003640UTC | 00000085--f247b281ca--59 | [rlog] v=0.0 base=22.2 raw=22.2 final=22.2 | cap=occlusion vis=22.2 occ=10.8 | v_vis=5.9 v_occ=10.8 conf=0.0 psi=0.0/0.4 reason=fov_exit tail=0.9@1398.0 | flags=psi_below_thresh
2025-09-05_003641UTC | 00000085--f247b281ca--59 | [rlog] v=0.0 base=22.2 raw=22.2 final=22.2 | cap=occlusion vis=22.2 occ=10.8 | v_vis=5.9 v_occ=10.8 conf=0.0 psi=0.0/0.4 reason=fov_exit tail=0.9@1398.0 | flags=psi_below_thresh
2025-09-05_003642UTC | 00000085--f247b281ca--59 | [rlog] v=0.0 base=22.2 raw=22.2 final=22.2 | cap=occlusion vis=22.2 occ=10.8 | v_vis=5.9 v_occ=10.8 conf=0.0 psi=0.0/0.4 reason=fov_exit tail=0.9@1398.0 | flags=psi_below_thresh
2025-09-05_003642UTC | 00000085--f247b281ca--59 | [rlog] v=0.0 base=22.2 raw=22.2 final=22.2 | cap=occlusion vis=22.2 occ=10.8 | v_vis=5.9 v_occ=10.8 conf=0.0 psi=0.0/0.4 reason=fov_exit tail=0.9@1398.0 | flags=psi_below_thresh
2025-09-05_003643UTC | 00000085--f247b281ca--59 | [rlog] v=0.0 base=22.2 raw=22.2 final=22.2 | cap=occlusion vis=22.2 occ=10.8 | v_vis=5.9 v_occ=10.8 conf=0.0 psi=0.0/0.4 reason=fov_exit tail=0.9@1398.0 | flags=psi_below_thresh
2025-09-05_003643UTC | 00000085--f247b281ca--59 | [rlog] v=0.0 base=22.2 raw=22.2 final=22.2 | cap=occlusion vis=22.2 occ=10.8 | v_vis=5.9 v_occ=10.8 conf=0.0 psi=0.0/0.4 reason=fov_exit tail=0.9@1398.0 | flags=psi_below_thresh
2025-09-05_003644UTC | 00000085--f247b281ca--59 | [rlog] v=0.0 base=22.2 raw=22.2 final=22.2 | cap=occlusion vis=22.2 occ=10.8 | v_vis=5.9 v_occ=10.8 conf=0.0 psi=0.0/0.4 reason=fov_exit tail=0.9@1398.0 | flags=psi_below_thresh
2025-09-05_003644UTC | 00000085--f247b281ca--59 | [rlog] v=0.0 base=22.2 raw=22.2 final=22.2 | cap=occlusion vis=22.2 occ=10.8 | v_vis=5.9 v_occ=10.8 conf=0.0 psi=0.0/0.4 reason=fov_exit tail=0.9@1398.0 | flags=psi_below_thresh
2025-09-05_003645UTC | 00000085--f247b281ca--59 | [rlog] v=0.0 base=22.2 raw=22.2 final=22.2 | cap=occlusion vis=22.2 occ=10.8 | v_vis=5.9 v_occ=10.8 conf=0.0 psi=0.0/0.4 reason=fov_exit tail=0.9@1398.0 | flags=psi_below_thresh
2025-09-05_003645UTC | 00000085--f247b281ca--59 | [rlog] v=0.0 base=22.2 raw=22.2 final=22.2 | cap=occlusion vis=22.2 occ=10.8 | v_vis=5.9 v_occ=10.8 conf=0.0 psi=0.0/0.4 reason=fov_exit tail=0.9@1398.0 | flags=psi_below_thresh
2025-09-05_003646UTC | 00000085--f247b281ca--59 | [rlog] v=0.0 base=22.2 raw=22.2 final=22.2 | cap=occlusion vis=22.2 occ=10.8 | v_vis=5.9 v_occ=10.8 conf=0.0 psi=0.0/0.4 reason=fov_exit tail=0.9@1398.0 | flags=psi_below_thresh
2025-09-05_003646UTC | 00000085--f247b281ca--59 | [rlog] v=0.0 base=22.2 raw=22.2 final=22.2 | cap=occlusion vis=22.2 occ=10.8 | v_vis=5.9 v_occ=10.8 conf=0.0 psi=0.0/0.4 reason=fov_exit tail=0.9@1398.0 | flags=psi_below_thresh
2025-09-05_003647UTC | 00000085--f247b281ca--59 | [rlog] v=0.0 base=22.2 raw=22.2 final=22.2 | cap=occlusion vis=22.2 occ=10.8 | v_vis=5.9 v_occ=10.8 conf=0.0 psi=0.0/0.4 reason=fov_exit tail=0.9@1398.0 | flags=psi_below_thresh
2025-09-05_003647UTC | 00000085--f247b281ca--59 | [rlog] v=0.0 base=22.2 raw=22.2 final=22.2 | cap=occlusion vis=22.2 occ=10.8 | v_vis=5.9 v_occ=10.8 conf=0.0 psi=0.0/0.4 reason=fov_exit tail=0.9@1398.0 | flags=psi_below_thresh
2025-09-05_003648UTC | 00000085--f247b281ca--59 | [rlog] v=0.0 base=22.2 raw=22.2 final=22.2 | cap=occlusion vis=22.2 occ=10.8 | v_vis=5.9 v_occ=10.8 conf=0.0 psi=0.0/0.4 reason=fov_exit tail=0.9@1398.0 | flags=psi_below_thresh
